song_name,file_name,relative_path,audio_path,status,error,original_duration_seconds,inference_duration_seconds,audio_was_looped,windows_used,window_seconds,main_label,main_genre_id,main_genre_name,main_score,main_confidence_level,main_threshold_vote_count,main_top1_window_vote_count,main_top3_window_vote_count,low_confidence,top1_labels,top1_genres,top1_scores,top3_labels,top3_genres,top3_scores,top5_labels,top5_genres,top5_scores,stable_predicted_labels,stable_predicted_genres,seconds
Electronic__NS050__Lake,Electronic__NS050__Lake.mp3,Electronic/Electronic__NS050__Lake.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Electronic\Electronic__NS050__Lake.mp3,ok,,253.74,253.74,False,8,15,genre_38,38,Experimental,0.4682568907737732,Low-to-moderate,8,5,8,True,genre_38,Experimental,0.468257,genre_38|genre_12|genre_17,Experimental|Rock|Folk,0.468257|0.321593|0.304552,genre_38|genre_12|genre_17|genre_10|genre_1235,Experimental|Rock|Folk|Pop|Instrumental,0.468257|0.321593|0.304552|0.154378|0.132731,genre_38|genre_12|genre_17,Experimental|Rock|Folk,1.512981653213501
Electronic__mtk140__Csanca,Electronic__mtk140__Csanca.mp3,Electronic/Electronic__mtk140__Csanca.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Electronic\Electronic__mtk140__Csanca.mp3,ok,,272.07,272.07,False,8,15,genre_15,15,Electronic,0.38060691952705383,Low-to-moderate,6,4,6,True,genre_15,Electronic,0.380607,genre_15|genre_38|genre_12,Electronic|Experimental|Rock,0.380607|0.362406|0.308745,genre_15|genre_38|genre_12|genre_10|genre_17,Electronic|Experimental|Rock|Pop|Folk,0.380607|0.362406|0.308745|0.242587|0.146406,genre_15|genre_38|genre_12|genre_10,Electronic|Experimental|Rock|Pop,1.4489071369171143
Electronic__foot149__El_And_Eu,Electronic__foot149__El_And_Eu.mp3,Electronic/Electronic__foot149__El_And_Eu.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Electronic\Electronic__foot149__El_And_Eu.mp3,ok,,273.58,273.58,False,8,15,genre_12,12,Rock,0.38979536294937134,Low-to-moderate,8,4,7,True,genre_12,Rock,0.389795,genre_12|genre_38|genre_15,Rock|Experimental|Electronic,0.389795|0.356129|0.285443,genre_12|genre_38|genre_15|genre_21|genre_10,Rock|Experimental|Electronic|Hip-Hop|Pop,0.389795|0.356129|0.285443|0.181627|0.154438,genre_12|genre_38|genre_15,Rock|Experimental|Electronic,1.710017204284668
Electronic__nullbomb__spindrumlikeaboom,Electronic__nullbomb__spindrumlikeaboom.mp3,Electronic/Electronic__nullbomb__spindrumlikeaboom.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Electronic\Electronic__nullbomb__spindrumlikeaboom.mp3,ok,,621.4,621.4,False,8,15,genre_15,15,Electronic,0.5368270874023438,Moderate,8,6,8,False,genre_15,Electronic,0.536827,genre_15|genre_38|genre_12,Electronic|Experimental|Rock,0.536827|0.515805|0.217403,genre_15|genre_38|genre_12|genre_21|genre_1235,Electronic|Experimental|Rock|Hip-Hop|Instrumental,0.536827|0.515805|0.217403|0.169662|0.116522,genre_15|genre_38|genre_12,Electronic|Experimental|Rock,2.154214859008789
Electronic__TFR100-VA-TornFleshRecordsPresentsVestigialSickness__36_-_Vulgar_Disease_-_Every_Noise_Has_Its_TORN,Electronic__TFR100-VA-TornFleshRecordsPresentsVestigialSickness__36_-_Vulgar_Disease_-_Every_Noise_Has_Its_TORN.mp3,Electronic/Electronic__TFR100-VA-TornFleshRecordsPresentsVestigialSickness__36_-_Vulgar_Disease_-_Every_Noise_Has_Its_TORN.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Electronic\Electronic__TFR100-VA-TornFleshRecordsPresentsVestigialSickness__36_-_Vulgar_Disease_-_Every_Noise_Has_Its_TORN.mp3,ok,,932.28,932.28,False,8,15,genre_38,38,Experimental,0.7766276001930237,High,8,8,8,False,genre_38,Experimental,0.776628,genre_38|genre_15|genre_32,Experimental|Electronic|Noise,0.776628|0.413171|0.180288,genre_38|genre_15|genre_32|genre_1|genre_12,Experimental|Electronic|Noise|Avant-Garde|Rock,0.776628|0.413171|0.180288|0.157284|0.147681,genre_38|genre_15,Experimental|Electronic,2.751692771911621
Electronic__MIXG031__Vozduh,Electronic__MIXG031__Vozduh.mp3,Electronic/Electronic__MIXG031__Vozduh.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Electronic\Electronic__MIXG031__Vozduh.mp3,ok,,254.07,254.07,False,8,15,genre_12,12,Rock,0.4562724530696869,Low-to-moderate,8,5,8,True,genre_12,Rock,0.456272,genre_12|genre_38|genre_15,Rock|Experimental|Electronic,0.456272|0.425772|0.247722,genre_12|genre_38|genre_15|genre_10|genre_17,Rock|Experimental|Electronic|Pop|Folk,0.456272|0.425772|0.247722|0.215524|0.137419,genre_12|genre_38|genre_15|genre_10,Rock|Experimental|Electronic|Pop,1.4170968532562256
Electronic__pn037__Sabrina,Electronic__pn037__Sabrina.mp3,Electronic/Electronic__pn037__Sabrina.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Electronic\Electronic__pn037__Sabrina.mp3,ok,,402.05,402.05,False,8,15,genre_38,38,Experimental,0.5617825984954834,Moderate,8,4,8,False,genre_38,Experimental,0.561783,genre_38|genre_15|genre_1235,Experimental|Electronic|Instrumental,0.561783|0.557847|0.208064,genre_38|genre_15|genre_1235|genre_12|genre_10,Experimental|Electronic|Instrumental|Rock|Pop,0.561783|0.557847|0.208064|0.165057|0.110032,genre_38|genre_15|genre_1235,Experimental|Electronic|Instrumental,1.684835433959961
Electronic__mtcomp003__latatoo__secede_s_another_day_wasted_mix,Electronic__mtcomp003__latatoo__secede_s_another_day_wasted_mix.mp3,Electronic/Electronic__mtcomp003__latatoo__secede_s_another_day_wasted_mix.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Electronic\Electronic__mtcomp003__latatoo__secede_s_another_day_wasted_mix.mp3,ok,,483.11,483.11,False,8,15,genre_38,38,Experimental,0.5439085364341736,Moderate,8,4,8,False,genre_38,Experimental,0.543909,genre_38|genre_15|genre_1235,Experimental|Electronic|Instrumental,0.543909|0.438383|0.238347,genre_38|genre_15|genre_1235|genre_12|genre_107,Experimental|Electronic|Instrumental|Rock|Ambient,0.543909|0.438383|0.238347|0.195952|0.118249,genre_38|genre_15|genre_1235,Experimental|Electronic|Instrumental,1.7941327095031738
Electronic__ffs104__The_Leather,Electronic__ffs104__The_Leather.mp3,Electronic/Electronic__ffs104__The_Leather.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Electronic\Electronic__ffs104__The_Leather.mp3,ok,,531.17,531.17,False,8,15,genre_38,38,Experimental,0.5624988079071045,Moderate,8,6,8,False,genre_38,Experimental,0.562499,genre_38|genre_12|genre_15,Experimental|Rock|Electronic,0.562499|0.295575|0.284637,genre_38|genre_12|genre_15|genre_1|genre_21,Experimental|Rock|Electronic|Avant-Garde|Hip-Hop,0.562499|0.295575|0.284637|0.142081|0.137169,genre_38|genre_12|genre_15,Experimental|Rock|Electronic,1.803459882736206
Electronic__foot018__Baiao_Lo-fi,Electronic__foot018__Baiao_Lo-fi.mp3,Electronic/Electronic__foot018__Baiao_Lo-fi.mp3,E:\SCHOOL\Masters\Capstone_FMA_Project\data\external_audio_batch\Electronic\Electronic__foot018__Baiao_Lo-fi.mp3,ok,,328.46,328.46,False,8,15,genre_38,38,Experimental,0.4894542396068573,Low-to-moderate,8,4,8,True,genre_38,Experimental,0.489454,genre_38|genre_15|genre_12,Experimental|Electronic|Rock,0.489454|0.453861|0.274992,genre_38|genre_15|genre_12|genre_21|genre_1235,Experimental|Electronic|Rock|Hip-Hop|Instrumental,0.489454|0.453861|0.274992|0.162977|0.127129,genre_38|genre_15|genre_12,Experimental|Electronic|Rock,1.390326976776123
